image_name,target
ISIC_0052060,0.04034047247841954
ISIC_0052349,0.016235606279224157
ISIC_0058510,0.005084952688775957
ISIC_0073313,0.0048237203154712915
ISIC_0073502,0.01655270904302597
ISIC_0074618,0.007591848727315664
ISIC_0076801,0.011995063861832023
ISIC_0077586,0.039052854757755995
ISIC_0082004,0.11648972146213055
ISIC_0082785,0.04320370266214013
ISIC_0085332,0.006345350411720574
ISIC_0087243,0.007177261635661125
ISIC_0088167,0.017085337080061436
ISIC_0089356,0.008118804777041078
ISIC_0090283,0.016922670300118625
ISIC_0092481,0.004484509350731969
ISIC_0095455,0.006300557404756546
ISIC_0095790,0.01150220655836165
ISIC_0097719,0.21131551265716553
ISIC_0099348,0.04340256657451391
ISIC_0101040,0.05716497451066971
ISIC_0101383,0.024370980449020863
ISIC_0105104,0.020184074994176626
ISIC_0108196,0.00931410666089505
ISIC_0112420,0.09115887898951769
ISIC_0114232,0.005498221376910806
ISIC_0115798,0.004814556799829006
ISIC_0116844,0.004650259390473366
ISIC_0126432,0.010841071838513017
ISIC_0131485,0.003955260792281479
ISIC_0131912,0.0035244717146269977
ISIC_0131978,0.0054263395722955465
ISIC_0139322,0.012411880539730191
ISIC_0142066,0.0691186971962452
ISIC_0143109,0.04331604251638055
ISIC_0148210,0.026351378532126546
ISIC_0148937,0.0034946032683365047
ISIC_0150213,0.011995118344202638
ISIC_0152553,0.015759197762236
ISIC_0153127,0.019091315334662795
ISIC_0154289,0.017927074572071433
ISIC_0155813,0.13433830346912146
ISIC_0155983,0.06533317267894745
ISIC_0157088,0.010882038390263915
ISIC_0158761,0.016638560337014496
ISIC_0161963,0.08302916586399078
ISIC_0165178,0.1677019391208887
ISIC_0165230,0.15030883252620697
ISIC_0165615,0.005431702360510826
ISIC_0165617,0.04072152730077505
ISIC_0165674,0.007266373373568058
ISIC_0165928,0.11959265917539597
ISIC_0166561,0.004340259300079197
ISIC_0168125,0.0218504318036139
ISIC_0169378,0.0779193863272667
ISIC_0169575,0.029033667873591185
ISIC_0169906,0.08783258311450481
ISIC_0171865,0.028755275532603264
ISIC_0172678,0.004702602047473192
ISIC_0174800,0.022655165288597345
ISIC_0175014,0.010859148227609694
